epoch,train_rel_l2,test_rel_l2,learning_rate
0,0.12836956159770488,0.10824461467564106,0.001
1,0.107018060721457,0.10605480834841728,0.001
2,0.1046934968829155,0.10640249893069267,0.001
3,0.10348138047009707,0.10227039996534586,0.001
4,0.10119244755059481,0.09916589379310609,0.001
5,0.09949482553452253,0.09779860824346542,0.001
6,0.09820871762186288,0.09703239478170872,0.001
7,0.09481245972961187,0.09486402336508036,0.001
8,0.09151136602461338,0.08832798969000578,0.001
9,0.08682292189449071,0.09333340603858233,0.001
10,0.08201485013216733,0.07657004743814469,0.001
11,0.07645627239719033,0.07373779058456421,0.001
12,0.07219583154469729,0.06635178189724683,0.001
13,0.07023488003760577,0.06380677130073309,0.001
14,0.06851202818006277,0.06291177459061145,0.001
15,0.06760867074877024,0.0638836881890893,0.001
16,0.06707435534149409,0.06230468194931746,0.001
17,0.06481532780081034,0.05811212040483951,0.001
18,0.06333310429006815,0.06682543702423573,0.001
19,0.06299111655727029,0.06065083991736173,0.001
20,0.06162560109049082,0.055396134927868844,0.001
21,0.06216797312349081,0.059475147984921935,0.001
22,0.062190487999469045,0.058862776793539524,0.001
23,0.06263477321341634,0.05882519040256739,0.001
24,0.060947507582604886,0.058319919593632225,0.001
25,0.06128307281062007,0.06247249998152256,0.001
26,0.06155920973420143,0.06231951281428337,0.001
27,0.060532793432474134,0.07478004448115826,0.001
28,0.061039249792695045,0.05965389810502529,0.001
29,0.05862825124710798,0.053329240307211874,0.001
30,0.060370061486959455,0.07015329398214817,0.001
31,0.05853721400722861,0.05427450880408287,0.001
32,0.06069830413907766,0.05655609216541052,0.001
33,0.058794060125947,0.0575178568251431,0.001
34,0.05906381334736943,0.05915509920567274,0.001
35,0.05812767393887043,0.05557680279016495,0.001
36,0.060266493588685986,0.05875266175717116,0.001
37,0.05926270994916558,0.05214535772800446,0.001
38,0.05764465545117855,0.06644684206694365,0.001
39,0.057855763956904414,0.061436680555343626,0.001
40,0.058198228549212215,0.0540132474526763,0.001
41,0.05839066848903894,0.053369155190885066,0.001
42,0.05892178826034069,0.051775293275713924,0.001
43,0.05731533063948154,0.06038015823811293,0.001
44,0.057722487699240446,0.051779960487037896,0.001
45,0.058771541852504015,0.05740343295037746,0.001
46,0.058107058379799126,0.056420571729540826,0.001
47,0.057869605537503956,0.05602932382375002,0.001
48,0.05781146828830242,0.0591259365901351,0.001
49,0.05763777411356568,0.05886306155472994,0.001
50,0.05746317130699754,0.055877222679555416,0.001
51,0.05799027316644788,0.05164266265928745,0.001
52,0.05685985080897808,0.051427811086177826,0.001
53,0.0580063162446022,0.051741789933294056,0.001
54,0.056101516105234624,0.05306746931746602,0.001
55,0.05766901233419776,0.05894962333142757,0.001
56,0.0567777798846364,0.055448795203119516,0.001
57,0.05692660667747259,0.05080480180680752,0.001
58,0.05710300641879439,0.06539660755544902,0.001
59,0.05558204855397344,0.051229159124195574,0.001
60,0.056776013225317,0.05936910662800074,0.001
61,0.055922737453132865,0.05114009957760572,0.001
62,0.05549809088930488,0.05530412368476391,0.001
63,0.05607683111354709,0.05019396180287004,0.001
64,0.05682236910238862,0.051879233494400975,0.001
65,0.05547636153921485,0.055573986135423185,0.001
66,0.05656145802140236,0.050454285237938164,0.001
67,0.055507352720946077,0.05541399039328098,0.001
68,0.056366080079227686,0.05139428375288844,0.001
69,0.055124110087752344,0.05769383002072573,0.001
70,0.056301049422472715,0.05556454431265592,0.001
71,0.05459668688103557,0.05556092804297805,0.001
72,0.05545980177819729,0.057356487065553664,0.001
73,0.055250567629933356,0.05314500715583563,0.001
74,0.054730493251234295,0.058253237195312974,0.001
75,0.05549617670848966,0.06263281174004078,0.001
76,0.055029444858431815,0.058274002932012084,0.001
77,0.055120782479643825,0.051300063990056516,0.001
78,0.054351936083287,0.05041861040517688,0.001
79,0.055382999639958144,0.05316384056583047,0.001
80,0.05540942711755634,0.05154511677101255,0.001
81,0.056100856576114896,0.053469017818570136,0.001
82,0.05570442977175116,0.055278778839856386,0.001
83,0.054117538541555404,0.050134148616343736,0.001
84,0.05391240610182285,0.056946273259818554,0.001
85,0.05573888897523284,0.05166554993018508,0.001
86,0.05401873702928424,0.04843381945043802,0.001
87,0.054884809643030164,0.04946117097511887,0.001
88,0.054155952099710705,0.05003605484962463,0.001
89,0.05535254982486367,0.06093880731612444,0.001
90,0.05405935415253043,0.054260367378592494,0.001
91,0.05571357022970915,0.049538744650781154,0.001
92,0.053501866050064566,0.05787620056420564,0.001
93,0.05469288228452206,0.04945747660472989,0.001
94,0.05473634146526456,0.049791058264672755,0.001
95,0.053377977564930915,0.04977610222995281,0.001
96,0.05360245697945357,0.050936121009290215,0.001
97,0.05286532814055681,0.06152206350117922,0.001
98,0.053610665015876295,0.04802660157904029,0.001
99,0.05387644651532173,0.0505184593424201,0.0005
