epoch,train_rel_l2,test_rel_l2,learning_rate
0,0.20688606649637223,0.1716533809900284,0.001
1,0.1680555334687233,0.16720927208662034,0.001
2,0.1655243444442749,0.16434251070022582,0.001
3,0.15627030164003372,0.14133817553520203,0.001
4,0.12902160719037056,0.12445498704910278,0.001
5,0.12518683642148973,0.12198636308312416,0.001
6,0.12226715669035912,0.12046031877398491,0.001
7,0.12163689494132995,0.12084280326962471,0.001
8,0.12116240993142129,0.11969571486115456,0.001
9,0.11993125200271607,0.11911460235714913,0.001
10,0.12000410825014114,0.11731868907809258,0.001
11,0.11920071601867675,0.11723665967583656,0.001
12,0.11864023715257645,0.11669441238045693,0.001
13,0.11685289606451989,0.11621368899941445,0.001
14,0.11706085950136184,0.11558136492967605,0.001
15,0.11582209959626198,0.11725217178463936,0.001
16,0.11570073008537292,0.11390844359993935,0.001
17,0.11563870802521706,0.11736465618014336,0.001
18,0.1145348745584488,0.11280870884656906,0.001
19,0.11187120243906974,0.11066471561789512,0.001
20,0.11281181707978248,0.11523218750953675,0.001
21,0.11232356518507004,0.11128493100404739,0.001
22,0.11189994856715202,0.11145609021186828,0.001
23,0.11031099334359169,0.10844785049557686,0.001
24,0.10926824212074279,0.10898587331175805,0.001
25,0.10942287474870682,0.10741275995969772,0.001
26,0.11036218121647835,0.11462691947817802,0.001
27,0.10999960198998451,0.10835193693637848,0.001
28,0.10880127072334289,0.10764330625534058,0.001
29,0.10884549677371978,0.10735413879156112,0.001
30,0.1084368622303009,0.10705039426684379,0.001
31,0.10808302626013756,0.1087635450065136,0.001
32,0.10851892441511155,0.10673650428652763,0.001
33,0.1072146899998188,0.10580675452947616,0.001
34,0.10864867523312569,0.10800355598330498,0.001
35,0.10733363479375839,0.10608260408043861,0.001
36,0.10709220200777053,0.1077666737139225,0.001
37,0.10686018332839012,0.1053414672613144,0.001
38,0.10670136824250222,0.10570563822984695,0.001
39,0.10607124418020249,0.1060493104159832,0.001
40,0.10599137276411057,0.10526602864265441,0.001
41,0.10543069750070572,0.10446108430624008,0.001
42,0.10455465525388717,0.10344588458538055,0.001
43,0.10445906281471252,0.10579430311918259,0.001
44,0.10453256875276566,0.10433852598071099,0.001
45,0.10377064883708954,0.10279500931501388,0.001
46,0.10289319485425949,0.10154701322317124,0.001
47,0.10278738543391228,0.10236318111419677,0.001
48,0.10176521763205529,0.10269348621368408,0.001
49,0.10098956525325775,0.10253540426492691,0.001
50,0.10057420641183853,0.09952225536108017,0.001
51,0.1002186168730259,0.09855245947837829,0.001
52,0.09942519217729569,0.1029364824295044,0.001
53,0.09985944747924805,0.10060748159885406,0.001
54,0.09794214174151421,0.09605807662010193,0.001
55,0.09841822028160095,0.09840881898999214,0.001
56,0.09714741870760918,0.09687546789646148,0.001
57,0.09833784401416779,0.09933070540428161,0.001
58,0.09756589829921722,0.09583319127559661,0.001
59,0.096047632843256,0.09328505098819732,0.001
60,0.09563365712761879,0.09551085457205773,0.001
61,0.09552902266383172,0.09652934670448303,0.001
62,0.09557507917284966,0.09257426783442498,0.001
63,0.09426873803138733,0.09475177451968193,0.001
64,0.09431005403399467,0.09297422617673874,0.001
65,0.09559865325689315,0.09446862116456031,0.001
66,0.09490160137414932,0.09508423730731011,0.001
67,0.09367060229182243,0.09305057972669602,0.001
68,0.09414004549384117,0.09378359243273734,0.001
69,0.0928183551132679,0.09006869494915008,0.001
70,0.09248232245445251,0.0909525640308857,0.001
71,0.09277014151215553,0.09050101339817047,0.001
72,0.09157279327511787,0.09157566428184509,0.001
73,0.091135795712471,0.09017219766974449,0.001
74,0.09130797266960144,0.08866358026862145,0.001
75,0.09032553821802139,0.09067802652716636,0.001
76,0.091183742582798,0.08851850926876068,0.001
77,0.09058037847280502,0.08885984644293785,0.001
78,0.09003732189536094,0.09023060128092766,0.001
79,0.09036797240376472,0.08914914429187774,0.001
80,0.09016918525099754,0.086310026794672,0.001
81,0.09016658693552017,0.09454974383115769,0.001
82,0.0893490555882454,0.0861761175096035,0.001
83,0.08956559658050538,0.08686635121703148,0.001
84,0.08837862864136696,0.08670079782605171,0.001
85,0.08831233695149422,0.08978545740246772,0.001
86,0.08946088373661042,0.08754658102989196,0.001
87,0.08899857804179191,0.08536012023687363,0.001
88,0.08728646278381348,0.08555029705166817,0.001
89,0.0882997938990593,0.08599005565047264,0.001
90,0.08797721728682519,0.08424717858433724,0.001
91,0.08730358317494392,0.08675128296017647,0.001
92,0.08692561388015747,0.08460302948951721,0.001
93,0.0875252877175808,0.08382382839918137,0.001
94,0.0864028088748455,0.08353948965668678,0.001
95,0.08689814269542694,0.0838157132267952,0.001
96,0.08564144745469093,0.0852390170097351,0.001
97,0.08477660492062569,0.08361642137169838,0.001
98,0.08718796581029892,0.0852437436580658,0.001
99,0.08605473890900611,0.0844714805483818,0.0005
100,0.08388060480356216,0.0811922512948513,0.0005
101,0.08363056033849717,0.08690698593854904,0.0005
102,0.08365436524152756,0.0811838909983635,0.0005
103,0.08326525136828422,0.0813995398581028,0.0005
104,0.08300021022558213,0.08171097934246063,0.0005
105,0.08282066509127617,0.08137035965919495,0.0005
106,0.08278969570994377,0.08070280626416207,0.0005
107,0.08334174543619156,0.08128848671913147,0.0005
108,0.08351490020751953,0.0824580393731594,0.0005
109,0.08238426759839058,0.08212335705757141,0.0005
110,0.08324911162257194,0.08254096284508705,0.0005
111,0.08234414741396905,0.08099322840571403,0.0005
