epoch,train_rel_l2,test_rel_l2,learning_rate
0,0.3116947919130325,0.052924935892224315,0.001
1,0.04532117966562509,0.031894363649189475,0.001
2,0.03933174025267363,0.05573207475244999,0.001
3,0.029734420776367187,0.04792198091745377,0.001
4,0.0245552546530962,0.041533708572387695,0.001
5,0.033823949992656706,0.019611829333007334,0.001
6,0.018978887479752304,0.027998057007789613,0.001
7,0.03137018846347928,0.035896604880690575,0.001
8,0.02095732718706131,0.018525068834424018,0.001
9,0.02555608928203583,0.02569219022989273,0.001
10,0.020422379281371833,0.01211775904521346,0.001
11,0.02380898527801037,0.02807192914187908,0.001
12,0.026519410610198975,0.027234239131212236,0.001
13,0.024907623771578073,0.022442957013845445,0.001
14,0.021504821982234718,0.016619242448359727,0.001
15,0.016704477854073047,0.015391248092055321,0.001
16,0.026184663213789462,0.028529570251703263,0.001
17,0.025000688135623932,0.02883196622133255,0.001
18,0.019722080323845148,0.01595260892063379,0.001
19,0.015848031230270863,0.020279462821781634,0.001
20,0.022858614679425956,0.022217942215502263,0.001
21,0.02467880807816982,0.030029385723173617,0.001
22,0.022161396630108358,0.01897026225924492,0.001
23,0.019211478997021914,0.01539411125704646,0.001
24,0.01722148708999157,0.010304469615221024,0.001
25,0.01953170243650675,0.02755203898996115,0.001
26,0.024661313742399216,0.012417281046509743,0.001
27,0.024060039408504964,0.022740638814866543,0.001
28,0.023215718921273946,0.010634926613420248,0.001
29,0.016003644056618214,0.011174402385950088,0.001
30,0.020794012285768985,0.025200910679996014,0.001
31,0.02341981904581189,0.022170942462980747,0.001
32,0.023195494562387467,0.02413493152707815,0.001
33,0.02296697298064828,0.016903699748218058,0.001
34,0.02158018797636032,0.022519556805491447,0.001
35,0.02060209583491087,0.01319030560553074,0.001
36,0.020281263031065463,0.02175878398120403,0.001
37,0.020159367471933365,0.023952296189963817,0.001
38,0.020633676033467056,0.0171362011693418,0.001
39,0.01962871080264449,0.02319095339626074,0.001
40,0.018982579372823237,0.014057185407727957,0.001
41,0.019714361373335123,0.02070468310266733,0.001
42,0.019153128415346145,0.02179166041314602,0.001
43,0.019995200149714946,0.027374104037880896,0.001
44,0.018609413877129555,0.011983071081340313,0.001
45,0.012269285265356302,0.01603619633242488,0.001
46,0.01717344028875232,0.01625819569453597,0.001
47,0.013319272734224796,0.028034012578427792,0.001
48,0.02062133628875017,0.0218322291970253,0.001
49,0.019474068973213434,0.029137316904962064,0.001
50,0.01586053199134767,0.02071531508117914,0.001
51,0.019684261493384838,0.02304356321692467,0.001
52,0.019480023570358752,0.01688233520835638,0.001
53,0.019116562008857727,0.015009093191474676,0.001
54,0.018387384954839946,0.02575218379497528,0.001
55,0.019625134039670228,0.015767833217978477,0.001
56,0.01623055772855878,0.023896006122231483,0.001
57,0.018328551314771176,0.018046646378934383,0.001
58,0.014402772169560193,0.013076973985880614,0.001
59,0.017371814344078303,0.019718596525490285,0.001
60,0.01824984133243561,0.027926337346434592,0.001
61,0.013773946687579156,0.014346684794873,0.001
62,0.01610152568668127,0.015277972165495157,0.001
63,0.012522393632680177,0.01129551762714982,0.001
64,0.017956696301698685,0.016101042088121176,0.001
65,0.013867941312491893,0.012235708720982074,0.001
66,0.017778225420042874,0.011095289047807455,0.001
67,0.017944188416004182,0.015175886638462543,0.001
68,0.0192885672301054,0.017165652848780154,0.001
69,0.018402424938976765,0.015184307191520929,0.001
70,0.01246628124266863,0.009541806485503911,0.001
71,0.014473051205277443,0.02420248407870531,0.001
72,0.01842492964118719,0.02361624762415886,0.001
73,0.01806557325646281,0.013825241941958666,0.001
74,0.016824746672064066,0.016265994124114513,0.001
75,0.018134964723140003,0.014286435022950173,0.001
76,0.01830006016418338,0.010617821477353573,0.001
77,0.013599302750080824,0.016749731637537478,0.001
78,0.014274041466414929,0.014532337617129087,0.001
79,0.016787429507821798,0.012640986032783985,0.001
80,0.012093314826488495,0.010281211603432894,0.001
81,0.01230567774735391,0.01954918298870325,0.001
82,0.014651275454089046,0.009229356609284877,0.001
83,0.013625040743499994,0.01726055536419153,0.001
84,0.015497187599539757,0.01825123429298401,0.001
85,0.017355970069766045,0.01948961690068245,0.001
86,0.015098764160647989,0.0237482164055109,0.001
87,0.013602772150188685,0.009869559016078711,0.001
88,0.017468534745275974,0.02145741507411003,0.001
89,0.01778436889871955,0.0186876917257905,0.001
90,0.015099569763988257,0.009117507003247738,0.001
91,0.011000371435657144,0.018875727243721486,0.001
92,0.016787488274276258,0.015079229511320591,0.001
93,0.018131840266287325,0.020808857306838034,0.001
94,0.013728555785492062,0.007731023617088795,0.001
95,0.017227246025577188,0.01037722108885646,0.001
96,0.013248551078140736,0.012098346650600434,0.001
97,0.013862849697470665,0.012746064085513353,0.001
98,0.01514640592969954,0.020870226621627807,0.001
99,0.01690686638467014,0.02148201297968626,0.0005
100,0.009493282763287425,0.005635013524442911,0.0005
101,0.005743505908176303,0.007486922899261117,0.0005
102,0.00857005356810987,0.00574942328967154,0.0005
103,0.008015745347365736,0.005723327398300171,0.0005
104,0.00548299758695066,0.005452463543042541,0.0005
105,0.005229777381755412,0.010259358305484056,0.0005
106,0.006976795722730458,0.004599721869453788,0.0005
107,0.005901686400175094,0.005624429881572723,0.0005
108,0.0061906915530562405,0.006191781908273697,0.0005
109,0.006710290778428316,0.009903971757739782,0.0005
110,0.009383797515183687,0.008858855161815882,0.0005
111,0.0076747677475214006,0.011971386149525642,0.0005
112,0.006946906009688974,0.005753816105425358,0.0005
113,0.005413138521835208,0.005847958056256175,0.0005
114,0.007632452491670847,0.007668996043503284,0.0005
115,0.0072524558193981644,0.004823009669780731,0.0005
116,0.0067017779359593984,0.010252681747078895,0.0005
117,0.007209149524569512,0.006116877868771553,0.0005
118,0.007082591922953725,0.005219190707430243,0.0005
119,0.006967113865539431,0.004485787451267242,0.0005
120,0.005892082978971302,0.005308650247752666,0.0005
121,0.005904324194416404,0.006478083692491055,0.0005
122,0.005368232931941747,0.009208364225924016,0.0005
123,0.009412379348650574,0.012319594528526068,0.0005
124,0.007456151470541954,0.005753965163603425,0.0005
125,0.005505701228976249,0.0052442261017858986,0.0005
126,0.00577825590968132,0.0076581281144171955,0.0005
127,0.006883375751785934,0.005317926686257124,0.0005
128,0.008954940680414438,0.011572904884815216,0.0005
129,0.007283500931225717,0.01040776064619422,0.0005
130,0.0064055486116558315,0.00649048169143498,0.0005
131,0.0066820119973272085,0.00732376603409648,0.0005
132,0.006360861221328378,0.005668929452076555,0.0005
133,0.006810620189644396,0.010039493534713983,0.0005
134,0.008045162819325925,0.004505852563306689,0.0005
135,0.006588778328150511,0.00615697824396193,0.0005
136,0.006624624906107783,0.005345209967344999,0.0005
137,0.006230841814540327,0.00939704841002822,0.0005
138,0.007318071308545769,0.005574387172237039,0.0005
139,0.007562227081507444,0.010774112306535244,0.0005
140,0.009361780555918813,0.010992292314767838,0.0005
141,0.010931068928912283,0.010178169142454863,0.0005
142,0.007279467266052961,0.005425744457170367,0.0005
143,0.009372651809826493,0.013290472887456417,0.0005
144,0.006924250484444201,0.013529251329600811,0.0005
145,0.009044470600783824,0.01245364435017109,0.0005
146,0.00903808039613068,0.012238632515072822,0.0005
147,0.007712701046839357,0.006879418203607201,0.0005
148,0.0062878841953352095,0.007436040276661515,0.0005
149,0.00851542929187417,0.007656148029491305,0.0005
150,0.00918596169911325,0.01091217901557684,0.0005
151,0.00926504360511899,0.00875233979895711,0.0005
152,0.007808228777721524,0.006784006115049123,0.0005
153,0.006301616644486785,0.005446351924911141,0.0005
154,0.007531665861606598,0.008076743036508561,0.0005
155,0.00760741375386715,0.006533295242115855,0.0005
156,0.008344880864024162,0.012390588410198689,0.0005
157,0.00696251607965678,0.00902879936620593,0.0005
158,0.007626267010346055,0.006549897743389011,0.0005
159,0.006128465435467661,0.006001000013202429,0.0005
160,0.006467761476524174,0.004865190479904413,0.0005
161,0.006167269353754818,0.007655064156278968,0.0005
162,0.006754965400323272,0.010659962333738804,0.0005
163,0.00786612655967474,0.00461279908195138,0.0005
164,0.005410923198796809,0.004937762068584562,0.0005
165,0.006220036502927542,0.010741546377539634,0.0005
166,0.008589518712833524,0.010846470203250646,0.0005
167,0.0077075070515275,0.005675444658845663,0.0005
168,0.00736742939800024,0.0061414727009832856,0.0005
169,0.008307024324312805,0.006038140505552292,0.0005
170,0.007057376392185688,0.010830189567059278,0.0005
171,0.008780827689915895,0.007505957316607237,0.0005
172,0.00766203083563596,0.008663252601400018,0.0005
173,0.00870442965067923,0.005687623238191009,0.0005
174,0.007682390790432691,0.013913516886532307,0.0005
175,0.007260279534384608,0.00794158554635942,0.0005
176,0.008354528276249766,0.006441577896475792,0.0005
177,0.005432081967592239,0.008036035997793078,0.0005
178,0.005530371461063623,0.006038397504016757,0.0005
179,0.008160114781931042,0.010833098366856576,0.0005
180,0.008315296373330056,0.00900747748091817,0.0005
181,0.008746291417628527,0.009466021321713924,0.0005
182,0.00711882677860558,0.008308628667145967,0.0005
183,0.006942316684871912,0.007875976711511612,0.0005
184,0.007511250642128289,0.009889301657676697,0.0005
185,0.008634490575641394,0.010208062920719385,0.0005
186,0.008253773115575314,0.00915295658633113,0.0005
187,0.007854984258301556,0.005356222856789827,0.0005
188,0.006360815344378352,0.004206360760144889,0.0005
189,0.007454962264746428,0.0061433898285031315,0.0005
190,0.0073947611358016726,0.005314348824322223,0.0005
191,0.007850063629448414,0.006560377823188901,0.0005
192,0.007965596579015254,0.008827491896227002,0.0005
193,0.007769994083791971,0.008049644250422715,0.0005
194,0.00845540544949472,0.0057244599796831604,0.0005
195,0.007922744061797857,0.01035929163917899,0.0005
196,0.007040271069854498,0.008105672476813198,0.0005
197,0.005511032370850444,0.005271265050396323,0.0005
198,0.004864514595828951,0.004716968908905983,0.0005
199,0.007048526103608311,0.004313347325660288,0.00025
200,0.0038067734614014625,0.0036526669282466173,0.00025
201,0.003077268241904676,0.003309639939107001,0.00025
202,0.0034159706765785813,0.003560120542533696,0.00025
203,0.00459712312091142,0.005150570208206773,0.00025
204,0.0031778492452576757,0.0052723178640007974,0.00025
